seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr19	57352305	57352329	25	*	X06531	23619	57285923	57352097	66175	-	207	upstream	207	ZIM2
chr19	57352305	57352329	25	*	X06531	5178	57321445	57352094	30650	-	210	upstream	210	PEG3
chr19	57352384	57352424	41	*	X06532	100073347	57352270	57359922	7653	+	0	inside	113	MIMT1
chr19	57352384	57352424	41	*	X06532	23619	57285923	57352097	66175	-	286	upstream	286	ZIM2
chr19	57352384	57352424	41	*	X06532	5178	57321445	57352094	30650	-	289	upstream	289	PEG3
chr19	57631550	57631639	90	*	X06590	57663	57631509	57643293	11785	+	0	inside	40	USP29
chr19	58037034	58037069	36	*	X06598	256051	58038693	58052244	13552	+	1623	upstream	1623	ZNF549
chr19	58629829	58629918	90	*	X06616	65982	58595209	58629793	34585	-	35	upstream	35	ZSCAN18
chr19	58693865	58694044	180	*	X06622	10782	58694396	58724927	30532	+	351	upstream	351	ZNF274
chr2	31806340	31806428	89	*	X06749	6716	31749656	31806040	56385	-	299	upstream	299	SRD5A2
chr2	46704970	46705074	105	*	X06801	388946	46706704	46711564	4861	+	1629	upstream	1629	TMEM247
chr2	91847884	91847904	21	*	X06923	654342	91805188	91847975	42788	-	0	inside	70	LSP1P4
chr2	91848837	91848921	85	*	X06924	654342	91805188	91847975	42788	-	861	upstream	861	LSP1P4
chr2	91962224	91962373	150	*	X06941	645367	91963368	91970153	6786	+	994	upstream	994	GGT8P
chr2	95428644	95428808	165	*	X06969	90499	95421071	95426929	5859	-	1714	upstream	1714	FAM95A
chr2	95522879	95522955	77	*	X06990	729171	95426673	95522820	96148	-	58	upstream	58	ANKRD20A8P
chr2	95524418	95524537	120	*	X06991	729171	95426673	95522820	96148	-	1597	upstream	1597	ANKRD20A8P
chr2	95614157	95614306	150	*	X07003	442028	95534422	95613087	78666	-	1069	upstream	1069	LOC442028
chr2	95689452	95689601	150	*	X07016	4118	95691400	95719737	28338	+	1798	upstream	1798	MAL
chr2	95690646	95690726	81	*	X07017	4118	95691400	95719737	28338	+	673	upstream	673	MAL
chr2	95691404	95691446	43	*	X07018	4118	95691400	95719737	28338	+	0	inside	3	MAL
chr2	95691657	95691851	195	*	X07019	4118	95691400	95719737	28338	+	0	inside	256	MAL
chr2	95961639	95961758	120	*	X07057	30818	95963072	96051825	88754	+	1313	upstream	1313	KCNIP3
chr2	114359936	114360055	120	*	X07162	84771	114356605	114359153	2549	-	782	upstream	782	DDX11L2
chr2	114360888	114361087	200	*	X07163	84771	114356605	114359153	2549	-	1734	upstream	1734	DDX11L2
chr2	174147520	174147684	165	*	X07323	339751	174062441	174146764	84324	-	755	upstream	755	MAP3K20-AS1
chr2	234654417	234654520	104	*	X07437	414061	234651396	234652661	1266	-	1755	upstream	1755	DNAJB3
chr2	234654566	234654684	119	*	X07438	414061	234651396	234652661	1266	-	1904	upstream	1904	DNAJB3
chr20	25849628	25849747	120	*	X07584	728882	25744102	25848786	104685	-	841	upstream	841	FAM182B
chr20	26189713	26189792	80	*	X07586	284801	26167655	26189869	22215	-	0	inside	76	MIR663AHG
chr20	26189713	26189792	80	*	X07586	724033	26188822	26188914	93	-	798	upstream	798	MIR663A
chr20	29611808	29611852	45	*	X07619	284802	29611879	29653908	42030	+	26	upstream	26	FRG1BP
chr20	29639780	29639884	105	*	X07620	140678	29637584	29638138	555	-	1641	upstream	1641	MLLT10P1
chr20	30062984	30063103	120	*	X07647	28954	30063105	30072708	9604	+	1	upstream	1	REM1
chr20	30073799	30073918	120	*	X07652	140875	30073581	30075377	1797	+	0	inside	217	LINC00028
chr20	45086755	45086814	60	*	X07685	100130934	45085132	45086282	1151	-	472	upstream	472	ZNF663P
chr20	54580968	54581040	73	*	X07717	140689	54572413	54580528	8116	-	439	upstream	439	CBLN4
chr20	54822697	54822831	135	*	X07739	4159	54823788	54824871	1084	+	956	upstream	956	MC3R
chr20	58508143	58508605	463	*	X07841	10388	58438618	58507209	68592	-	933	upstream	933	SYCP2
chr20	58508143	58508605	463	*	X07841	63939	58508819	58523702	14884	+	213	upstream	213	FAM217B
chr20	58508741	58508786	46	*	X07842	10388	58438618	58507209	68592	-	1531	upstream	1531	SYCP2
chr20	58508741	58508786	46	*	X07842	63939	58508819	58523702	14884	+	32	upstream	32	FAM217B
chr21	11099485	11099657	173	*	X07969	574	11057796	11098937	41142	-	547	upstream	547	BAGE
chr21	11099485	11099657	173	*	X07969	85318	11020813	11098937	78125	-	547	upstream	547	BAGE3
chr21	11100475	11100654	180	*	X07970	574	11057796	11098937	41142	-	1537	upstream	1537	BAGE
chr21	11100475	11100654	180	*	X07970	85318	11020813	11098937	78125	-	1537	upstream	1537	BAGE3
chr21	14410436	14410540	105	*	X07982	149992	14410487	14490571	80085	+	0	overlapStart	0	ANKRD30BP2
chr21	15352770	15353082	313	*	X08016	391267	15316096	15352765	36670	-	4	upstream	4	ANKRD20A11P
chr21	15353161	15353475	315	*	X08017	391267	15316096	15352765	36670	-	395	upstream	395	ANKRD20A11P
chr21	26212472	26212576	105	*	X08069	339622	26212864	26430056	217193	+	287	upstream	287	LINC01692
chr21	39601734	39601853	120	*	X08094	3772	39601837	39673746	71910	+	0	overlapStart	0	KCNJ15
chr21	42675844	42676060	217	*	X08103	54097	42676177	42729654	53478	+	116	upstream	116	FAM3B
chr21	46031575	46031649	75	*	X08122	386681	46031996	46032871	876	+	346	upstream	346	KRTAP10-8
chr21	46076804	46076881	78	*	X08124	386683	46077849	46078258	410	+	967	upstream	967	KRTAP12-3
chr21	47576139	47576151	13	*	X08140	10841	47556176	47575481	19306	-	657	upstream	657	FTCD
chr21	47649501	47649579	79	*	X08145	4047	47608360	47648738	40379	-	762	upstream	762	LSS
chr22	17082285	17082293	9	*	X08161	387590	17082801	17179521	96721	+	507	upstream	507	TPTEP1
chr22	17082356	17082494	139	*	X08162	387590	17082801	17179521	96721	+	306	upstream	306	TPTEP1
chr22	17082624	17082788	165	*	X08163	387590	17082801	17179521	96721	+	12	upstream	12	TPTEP1
chr22	17489050	17489261	212	*	X08177	128954	17442827	17489112	46286	-	0	overlapStart	0	GAB4
chr22	17489309	17489484	176	*	X08178	128954	17442827	17489112	46286	-	196	upstream	196	GAB4
chr22	17489620	17489646	27	*	X08179	128954	17442827	17489112	46286	-	507	upstream	507	GAB4
chr22	17489707	17489754	48	*	X08180	128954	17442827	17489112	46286	-	594	upstream	594	GAB4
chr22	21332066	21332170	105	*	X08181	8216	21333751	21353326	19576	+	1580	upstream	1580	LZTR1
chr22	21332291	21332425	135	*	X08182	8216	21333751	21353326	19576	+	1325	upstream	1325	LZTR1
chr22	21332576	21332680	105	*	X08183	8216	21333751	21353326	19576	+	1070	upstream	1070	LZTR1
chr22	22900039	22900158	120	*	X08189	648691	22901756	22909007	7252	+	1597	upstream	1597	LL22NC03-63E9.3
chr22	22900174	22900188	15	*	X08190	648691	22901756	22909007	7252	+	1567	upstream	1567	LL22NC03-63E9.3
chr22	22901113	22901305	193	*	X08191	648691	22901756	22909007	7252	+	450	upstream	450	LL22NC03-63E9.3
chr22	22901948	22902067	120	*	X08192	23532	22890123	22901696	11574	-	251	upstream	251	PRAME
chr22	22901948	22902067	120	*	X08192	648691	22901756	22909007	7252	+	0	inside	191	LL22NC03-63E9.3
chr22	33455604	33455613	10	*	X08275	8224	32908540	33454377	545838	-	1226	upstream	1226	SYN3
chr22	44895992	44896023	32	*	X08312	84247	44888450	44894005	5556	-	1986	upstream	1986	RTL6
chr22	45808917	45809261	345	*	X08316	26150	45809572	45828302	18731	+	310	upstream	310	RIBC2
chr22	45808917	45809261	345	*	X08316	27127	45739945	45809500	69556	-	0	inside	238	SMC1B
chr22	50222108	50222506	399	*	X08450	23774	50166937	50221196	54260	-	911	upstream	911	BRD1
chr3	44752406	44752630	225	*	X08566	91392	44754135	44765323	11189	+	1504	upstream	1504	ZNF502
chr3	51895158	51895161	4	*	X08607	389123	51895645	51897440	1796	+	483	upstream	483	IQCF2
chr3	56717916	56718005	90	*	X08614	23272	56654160	56717135	62976	-	780	upstream	780	TASOR
chr3	88030125	88030229	105	*	X08689	3355	88031726	88042919	11194	+	1496	upstream	1496	HTR1F
chr3	94656889	94656993	105	*	X08706	255025	94657107	94895083	237977	+	113	upstream	113	LINC00879
chr3	118864885	118865004	120	*	X08763	152404	118619479	118864898	245420	-	0	overlapStart	0	IGSF11
chr3	118864885	118865004	120	*	X08763	152405	118864997	118870302	5306	+	0	overlapStart	0	TEX55
chr3	138152503	138152568	66	*	X08817	83850	138153415	138197256	43842	+	846	upstream	846	ESYT3
chr3	138739601	138739720	120	*	X08824	389151	138737873	138739768	1896	-	0	inside	47	PRR23B
chr3	170627834	170627938	105	*	X08914	56648	170606204	170626426	20223	-	1407	upstream	1407	EIF5A2
chr3	194073524	194073579	56	*	X08959	1370	194060494	194072057	11564	-	1466	upstream	1466	CPN2
chr4	52200	52349	150	*	X08983	152687	53227	196092	142866	+	877	upstream	877	ZNF595
chr4	52200	52349	150	*	X08983	255403	53227	156490	103264	+	877	upstream	877	ZNF718
chr4	968630	968749	120	*	X09020	1609	952672	967348	14677	-	1281	upstream	1281	DGKQ
chr4	3578137	3578152	16	*	X09039	285492	3578596	3592712	14117	+	443	upstream	443	LINC00955
chr4	99852397	99852499	103	*	X09412	1977	99799607	99851786	52180	-	610	upstream	610	EIF4E
chr4	99852582	99852610	29	*	X09413	1977	99799607	99851786	52180	-	795	upstream	795	EIF4E
chr4	99914714	99914818	105	*	X09414	23173	99916788	99983960	67173	+	1969	upstream	1969	METAP1
chr4	104640609	104640728	120	*	X09424	6870	104510625	104640973	130349	-	0	inside	244	TACR3
chr4	139010032	139010107	76	*	X09532	641364	139010168	139099331	89164	+	60	upstream	60	SLC7A11-AS1
chr4	191001877	191002005	129	*	X09697	441056	191002090	191003549	1460	+	84	upstream	84	DUX4L4
chr5	12574720	12574794	75	*	X09748	404663	12574969	12805295	230327	+	174	upstream	174	LINC01194
chr5	23507527	23507591	65	*	X09765	56979	23507724	23528706	20983	+	132	upstream	132	PRDM9
chr5	28926625	28926820	196	*	X09777	729862	28926977	28927420	444	+	156	upstream	156	LSP1P3
chr5	121187697	121187786	90	*	X10000	94033	121187650	121188523	874	+	0	inside	46	FTMT
chr5	140512816	140512816	1	*	X10055	26167	140514800	140517704	2905	+	1983	upstream	1983	PCDHB5
chr5	140722569	140722643	75	*	X10058	56112	140723601	140892548	168948	+	957	upstream	957	PCDHGA3
chr5	157098181	157098285	105	*	X10089	100190949	157098561	157107162	8602	+	275	upstream	275	C5orf52
chr5	157098181	157098285	105	*	X10089	11063	157052687	157098488	45802	-	0	inside	202	SOX30
chr5	178366759	178366766	8	*	X10166	285676	178368194	178393218	25025	+	1427	upstream	1427	ZNF454
chr5	180256814	180256903	90	*	X10216	729678	180257957	180262726	4770	+	1053	upstream	1053	LINC00847
chr6	292344	292478	135	*	X10227	56940	292101	351355	59255	+	0	inside	242	DUSP22
chr6	74063965	74064051	87	*	X10412	340168	74062785	74063999	1215	-	0	overlapStart	0	DPPA5
chr6	74104398	74104429	32	*	X10413	55510	74104285	74127289	23005	+	0	inside	112	DDX43
chr6	74104460	74104594	135	*	X10414	441161	74078280	74104816	26537	-	0	inside	221	OOEP
chr6	74104460	74104594	135	*	X10414	55510	74104285	74127289	23005	+	0	inside	174	DDX43
chr6	168377708	168377968	261	*	X10704	100128124	168376604	168377619	1016	-	88	upstream	88	HGC6.3
chr6	170614236	170614340	105	*	X10730	84498	170615844	170714237	98394	+	1503	upstream	1503	FAM120B
chr7	330289	330363	75	*	X10749	100288524	330136	331454	1319	+	0	inside	152	FOXL3-OT1
chr7	4901371	4901505	135	*	X10809	56903	4897369	4901625	4257	-	0	inside	119	PAPOLB
chr7	5111664	5111813	150	*	X10812	389458	5111691	5112854	1164	+	0	overlapStart	0	RBAKDN
chr7	5111919	5112092	174	*	X10813	389458	5111691	5112854	1164	+	0	inside	227	RBAKDN
chr7	24323654	24323716	63	*	X10858	4852	24323807	24331484	7678	+	90	upstream	90	NPY
chr7	27205005	27205124	120	*	X10867	3205	27202057	27205149	3093	-	0	inside	24	HOXA9
chr7	53103154	53103235	82	*	X10923	285877	53103349	53104618	1270	+	113	upstream	113	POM121L12
chr7	56174314	56174343	30	*	X10935	51142	56169266	56174187	4922	-	126	upstream	126	CHCHD2
chr7	56515697	56515786	90	*	X10964	650226	56491397	56516068	24672	-	0	inside	281	LOC650226
chr7	56517530	56517634	105	*	X10965	650226	56491397	56516068	24672	-	1461	upstream	1461	LOC650226
chr7	56517778	56517796	19	*	X10966	650226	56491397	56516068	24672	-	1709	upstream	1709	LOC650226
chr7	56562546	56562680	135	*	X10969	222029	56563916	56564977	1062	+	1235	upstream	1235	DKFZp434L192
chr7	57249106	57249285	180	*	X10996	642006	57233377	57247863	14487	-	1242	upstream	1242	GUSBP10
chr7	57249811	57250860	1050	*	X10997	642006	57233377	57247863	14487	-	1947	upstream	1947	GUSBP10
chr7	57471854	57472018	165	*	X11053	100422939	57472731	57472796	66	+	712	upstream	712	MIR3147
chr7	57508943	57509062	120	*	X11060	441234	57509883	57533265	23383	+	820	upstream	820	ZNF716
chr7	57509270	57509419	150	*	X11061	441234	57509883	57533265	23383	+	463	upstream	463	ZNF716
chr7	57509753	57509857	105	*	X11062	441234	57509883	57533265	23383	+	25	upstream	25	ZNF716
chr7	57510038	57510142	105	*	X11063	441234	57509883	57533265	23383	+	0	inside	154	ZNF716
chr7	63667624	63667728	105	*	X11168	730291	63667581	63680668	13088	+	0	inside	42	ZNF735
chr7	63772372	63772431	60	*	X11171	728927	63773186	63810017	36832	+	754	upstream	754	ZNF736
chr7	94285148	94285332	185	*	X11256	23089	94285637	94299006	13370	+	304	upstream	304	PEG10
chr7	94285148	94285332	185	*	X11256	8910	94214536	94285521	70986	-	0	inside	188	SGCE
chr7	94285350	94285454	105	*	X11257	23089	94285637	94299006	13370	+	182	upstream	182	PEG10
chr7	94285350	94285454	105	*	X11257	8910	94214536	94285521	70986	-	0	inside	66	SGCE
chr7	94287135	94287162	28	*	X11258	8910	94214536	94285521	70986	-	1613	upstream	1613	SGCE
chr7	94287406	94287537	132	*	X11259	8910	94214536	94285521	70986	-	1884	upstream	1884	SGCE
chr7	99775367	99775413	47	*	X11284	10734	99775538	99812010	36473	+	124	upstream	124	STAG3
chr7	99775367	99775413	47	*	X11284	221914	99767229	99774990	7762	-	376	upstream	376	GPC2
chr7	127880836	127880925	90	*	X11344	3952	127881331	127897682	16352	+	405	upstream	405	LEP
chr7	130131608	130131822	215	*	X11352	317751	130126898	130131013	4116	-	594	upstream	594	MESTIT1
chr7	130131913	130131967	55	*	X11353	317751	130126898	130131013	4116	-	899	upstream	899	MESTIT1
chr7	142984516	142984620	105	*	X11379	835	142985308	143004789	19482	+	687	upstream	687	CASP2
chr7	153584389	153584508	120	*	X11438	1804	153584419	154685995	1101577	+	0	overlapStart	0	DPP6
chr8	11187691	11187757	67	*	X11620	83650	11188495	11189695	1201	+	737	upstream	737	SLC35G5
chr8	11652076	11652163	88	*	X11621	2222	11653082	11696818	43737	+	918	upstream	918	FDFT1
chr8	30003977	30004051	75	*	X11642	619373	29989187	30002200	13014	-	1776	upstream	1776	MBOAT4
chr8	43147399	43147449	51	*	X11699	340441	43147585	43218328	70744	+	135	upstream	135	POTEA
chr8	43147521	43147593	73	*	X11700	340441	43147585	43218328	70744	+	0	overlapStart	0	POTEA
chr8	56367676	56367810	135	*	X11850	100133234	56361757	56367881	6125	-	0	inside	70	SBF1P1
chr8	58131170	58131188	19	*	X11874	100507651	58131648	58145388	13741	+	459	upstream	459	LINC01606
chr8	58171913	58171972	60	*	X11877	286177	58173785	58179170	5386	+	1812	upstream	1812	LOC286177
chr8	58173908	58174027	120	*	X11878	286177	58173785	58179170	5386	+	0	inside	122	LOC286177
chr8	71581577	71581643	67	*	X11917	389668	71581600	71648177	66578	+	0	overlapStart	0	XKR9
chr8	71581577	71581643	67	*	X11917	51110	71549501	71581447	31947	-	129	upstream	129	LACTB2
chr8	117962219	117962323	105	*	X12002	169026	117962512	118188953	226442	+	188	upstream	188	SLC30A8
chr8	143809205	143809444	240	*	X12154	100288181	143783670	143808391	24722	-	813	upstream	813	LNCOC1
chr8	143824803	143824847	45	*	X12161	57152	143822362	143823829	1468	-	973	upstream	973	SLURP1
chr8	143833505	143833684	180	*	X12170	137797	143831628	143833952	2325	-	0	inside	267	LYPD2
chr8	143833925	143834000	76	*	X12171	137797	143831628	143833952	2325	-	0	overlapStart	0	LYPD2
chr8	143834148	143834179	32	*	X12172	137797	143831628	143833952	2325	-	195	upstream	195	LYPD2
chr8	143834613	143834694	82	*	X12173	137797	143831628	143833952	2325	-	660	upstream	660	LYPD2
chr8	143867817	143867891	75	*	X12191	8581	143866298	143868008	1711	-	0	inside	116	LY6D
chr8	143868207	143868299	93	*	X12192	8581	143866298	143868008	1711	-	198	upstream	198	LY6D
chr8	143868687	143868806	120	*	X12193	8581	143866298	143868008	1711	-	678	upstream	678	LY6D
chr8	143915889	143916008	120	*	X12218	2765	143916217	143928262	12046	+	208	upstream	208	GML
chr8	143916174	143916308	135	*	X12219	2765	143916217	143928262	12046	+	0	overlapStart	0	GML
chr8	143916400	143916459	60	*	X12220	2765	143916217	143928262	12046	+	0	inside	182	GML
chr8	144098698	144098926	229	*	X12257	4061	144099902	144103827	3926	+	975	upstream	975	LY6E
chr8	144098987	144099020	34	*	X12258	4061	144099902	144103827	3926	+	881	upstream	881	LY6E
chr8	144099084	144099166	83	*	X12259	4061	144099902	144103827	3926	+	735	upstream	735	LY6E
chr8	144099257	144099541	285	*	X12260	4061	144099902	144103827	3926	+	360	upstream	360	LY6E
chr8	144099257	144099541	285	*	X12260	100133669	144063448	144099807	36360	-	0	inside	265	LY6E-DT
chr8	144100196	144100345	150	*	X12261	4061	144099902	144103827	3926	+	0	inside	293	LY6E
chr8	144100196	144100345	150	*	X12261	100133669	144063448	144099807	36360	-	388	upstream	388	LY6E-DT
chr8	144101102	144101206	105	*	X12262	100133669	144063448	144099807	36360	-	1294	upstream	1294	LY6E-DT
chr8	144241893	144241978	86	*	X12314	4062	144239331	144242053	2723	-	0	inside	74	LY6H
chr8	144242069	144242093	25	*	X12315	4062	144239331	144242053	2723	-	15	upstream	15	LY6H
chr8	144243317	144243436	120	*	X12316	4062	144239331	144242053	2723	-	1263	upstream	1263	LY6H
chr8	144293727	144293903	177	*	X12336	338328	144295068	144299044	3977	+	1164	upstream	1164	GPIHBP1
chr8	144294031	144294135	105	*	X12337	338328	144295068	144299044	3977	+	932	upstream	932	GPIHBP1
chr8	144327294	144327488	195	*	X12358	286128	144328991	144359101	30111	+	1502	upstream	1502	ZFP41
chr8	144327746	144327865	120	*	X12359	286128	144328991	144359101	30111	+	1125	upstream	1125	ZFP41
chr8	144925105	144925284	180	*	X12363	340371	144915755	144924200	8446	-	904	upstream	904	NRBP2
chr9	10864	10868	5	*	X12388	100287596	11987	14525	2539	+	1118	upstream	1118	DDX11L5
chr9	68455386	68455475	90	*	X12574	642236	68427783	68454375	26593	-	1010	upstream	1010	FRG1JP
chr9	125391925	125392059	135	*	X12724	347169	125390858	125391814	957	-	110	upstream	110	OR1B1
chr9	130891591	130891665	75	*	X12750	80142	130882972	130890741	7770	-	849	upstream	849	PTGES2
chr9	131174154	131174273	120	*	X12751	51148	131174045	131199630	25586	+	0	inside	108	CERCAM
chr9	134615717	134615881	165	*	X12755	2889	134452157	134615217	163061	-	499	upstream	499	RAPGEF1
chr9	137743055	137743159	105	*	X12776	100500846	137741021	137742490	1470	-	564	upstream	564	MIR3689A
chr9	137743055	137743159	105	*	X12776	100500906	137741971	137742118	148	-	936	upstream	936	MIR3689B
chr9	137743055	137743159	105	*	X12776	100616131	137741455	137741528	74	-	1526	upstream	1526	MIR3689D1
chr9	137743055	137743159	105	*	X12776	100616212	137742588	137742653	66	-	401	upstream	401	MIR3689F
chr9	137743055	137743159	105	*	X12776	100616333	137741144	137741215	72	-	1839	upstream	1839	MIR3689C
chr9	137743055	137743159	105	*	X12776	100616344	137742123	137742202	80	-	852	upstream	852	MIR3689D2
chr9	137743055	137743159	105	*	X12776	100616460	137742416	137742487	72	-	567	upstream	567	MIR3689E
chrX	31090226	31090254	29	*	X12942	53940	31089358	31090170	813	-	55	upstream	55	FTHL17
chrX	31090331	31090360	30	*	X12943	53940	31089358	31090170	813	-	160	upstream	160	FTHL17
chrX	52896649	52896826	178	*	X12981	170626	52891558	52897119	5562	-	0	inside	292	XAGE3
chrX	52897142	52897231	90	*	X12982	170626	52891558	52897119	5562	-	22	upstream	22	XAGE3
chrX	55101276	55101342	67	*	X12986	389860	55101489	55119260	17772	+	146	upstream	146	PAGE2B
chrX	55101763	55101802	40	*	X12987	389860	55101489	55119260	17772	+	0	inside	273	PAGE2B
chrX	55115743	55115792	50	*	X12988	203569	55115497	55119260	3764	+	0	inside	245	PAGE2
chrX	57937541	57937660	120	*	X13016	7789	57931864	57937067	5204	-	473	upstream	473	ZXDA
chrX	101397047	101397164	118	*	X13149	158931	101394933	101397388	2456	-	0	inside	223	TCEAL6
chrX	101397519	101397541	23	*	X13150	158931	101394933	101397388	2456	-	130	upstream	130	TCEAL6
chrX	101411041	101411043	3	*	X13152	340542	101408679	101410986	2308	-	54	upstream	54	BEX5
chrX	114523541	114523618	78	*	X13182	51213	114524292	114542121	17830	+	673	upstream	673	LUZP4
chrX	125686845	125686862	18	*	X13195	139170	125683366	125686842	3477	-	2	upstream	2	DCAF12L1
chrX	134974999	134975088	90	*	X13213	55511	134975785	134995221	19437	+	696	upstream	696	SAGE1
chrX	150344793	150344882	90	*	X13237	9248	150345056	150349937	4882	+	173	upstream	173	GPR50
chrX	150344928	150345092	165	*	X13238	9248	150345056	150349937	4882	+	0	overlapStart	0	GPR50
chrX	150345115	150345234	120	*	X13239	9248	150345056	150349937	4882	+	0	inside	58	GPR50
chrX	150731490	150731522	33	*	X13241	139135	150732007	150845211	113205	+	484	upstream	484	PASD1
